,Confirmed Cases,Date,Country,Death
1/22/20,1.0,1/22/20,United States,0.0
1/23/20,0.0,1/23/20,United States,0.0
1/24/20,1.0,1/24/20,United States,0.0
1/25/20,0.0,1/25/20,United States,0.0
1/26/20,3.0,1/26/20,United States,0.0
1/27/20,0.0,1/27/20,United States,0.0
1/28/20,0.0,1/28/20,United States,0.0
1/29/20,1.0,1/29/20,United States,0.0
1/30/20,0.0,1/30/20,United States,0.0
1/31/20,2.0,1/31/20,United States,0.0
2/1/20,0.0,2/1/20,United States,0.0
2/2/20,0.0,2/2/20,United States,0.0
2/3/20,3.0,2/3/20,United States,0.0
2/4/20,0.0,2/4/20,United States,0.0
2/5/20,0.0,2/5/20,United States,0.0
2/6/20,1.0,2/6/20,United States,0.0
2/7/20,0.0,2/7/20,United States,0.0
2/8/20,0.0,2/8/20,United States,0.0
2/9/20,0.0,2/9/20,United States,0.0
2/10/20,0.0,2/10/20,United States,0.0
2/11/20,1.0,2/11/20,United States,0.0
2/12/20,0.0,2/12/20,United States,0.0
2/13/20,1.0,2/13/20,United States,0.0
2/14/20,0.0,2/14/20,United States,0.0
2/15/20,0.0,2/15/20,United States,0.0
2/16/20,0.0,2/16/20,United States,0.0
2/17/20,0.0,2/17/20,United States,0.0
2/18/20,0.0,2/18/20,United States,0.0
2/19/20,0.0,2/19/20,United States,0.0
2/20/20,0.0,2/20/20,United States,0.0
2/21/20,2.0,2/21/20,United States,0.0
2/22/20,0.0,2/22/20,United States,0.0
2/23/20,0.0,2/23/20,United States,0.0
2/24/20,0.0,2/24/20,United States,0.0
2/25/20,0.0,2/25/20,United States,0.0
2/26/20,0.0,2/26/20,United States,0.0
2/27/20,1.0,2/27/20,United States,0.0
2/28/20,0.0,2/28/20,United States,0.0
2/29/20,8.0,2/29/20,United States,1.0
3/1/20,7.0,3/1/20,United States,0.0
3/2/20,23.0,3/2/20,United States,5.0
3/3/20,19.0,3/3/20,United States,1.0
3/4/20,33.0,3/4/20,United States,4.0
3/5/20,77.0,3/5/20,United States,1.0
3/6/20,53.0,3/6/20,United States,2.0
3/7/20,166.0,3/7/20,United States,3.0
3/8/20,116.0,3/8/20,United States,4.0
3/9/20,75.0,3/9/20,United States,1.0
3/10/20,188.0,3/10/20,United States,6.0
3/11/20,365.0,3/11/20,United States,5.0
3/12/20,439.0,3/12/20,United States,10.0
3/13/20,633.0,3/13/20,United States,8.0
3/14/20,759.0,3/14/20,United States,7.0
3/15/20,234.0,3/15/20,United States,12.0
3/16/20,1467.0,3/16/20,United States,27.0
3/17/20,1833.0,3/17/20,United States,37.0
3/18/20,2657.0,3/18/20,United States,60.0
3/19/20,4494.0,3/19/20,United States,72.0
3/20/20,6367.0,3/20/20,United States,106.0
3/21/20,5995.0,3/21/20,United States,103.0
3/22/20,8919.0,3/22/20,United States,128.0
3/23/20,11152.0,3/23/20,United States,187.0
3/24/20,10618.0,3/24/20,United States,243.0
3/25/20,12127.0,3/25/20,United States,333.0
3/26/20,17821.0,3/26/20,United States,417.0
3/27/20,18591.0,3/27/20,United States,522.0
3/28/20,22164.0,3/28/20,United States,713.0
3/29/20,16127.0,3/29/20,United States,555.0
3/30/20,22154.0,3/30/20,United States,707.0
3/31/20,26381.0,3/31/20,United States,1079.0
4/1/20,32233.0,4/1/20,United States,1276.0
4/2/20,32230.0,4/2/20,United States,1511.0
4/3/20,32482.0,4/3/20,United States,1420.0
4/4/20,32176.0,4/4/20,United States,1606.0
