state,party,cases,deaths
AL,Republican,69667891,1193446
AK,Republican,7321074,34291
AZ,Democratic,108122628,2168744
AR,Republican,42545597,683946
CA,Democratic,442143958,6631064
CO,Democratic,56368452,1009560
CT,Democratic,38015709,1701831
DE,Democratic,11579355,245524
DC,Democratic,6688966,222711
FL,Republican,280334396,4889245
GA,Democratic,134730940,2552855
HI,Democratic,4239077,58998
ID,Republican,23918433,251206
IL,Democratic,174140672,3953553
IN,Republican,87075752,1824385
IA,Republican,49406198,738721
KS,Republican,38627043,520843
KY,Republican,48981376,630192
LA,Republican,67637566,1914407
ME,Republican/Democratic,4773321,84543
MD,Democratic,58071541,1502410
MA,Democratic,80375058,3438405
MI,Democratic,92309713,3105159
MN,Democratic,67747492,1042502
MS,Republican,42813571,1072034
MO,Republican,72301286,1146983
MT,Republican,12714390,160452
NE,Republican/Democratic,28806593,300103
NV,Democratic,40864340,677705
NH,Democratic,8162328,189093
NJ,Democratic,115520313,5599397
NM,Democratic,23758101,490070
NY,Democratic,245059714,11904288
NC,Republican,109333756,1533200
ND,Republican,14625976,203704
OH,Republican,117996606,2177179
OK,Republican,52246529,540858
OR,Democratic,20090872,292782
PA,Democratic,117208601,3777077
RI,Democratic,16823305,445594
SC,Republican,66332047,1225770
SD,Republican,16066824,230753
TN,Republican,102059847,1347855
TX,Republican,356385196,6100767
UT,Republican,48239025,251814
VT,Democratic,1612805,31411
VA,Democratic,74530992,1262039
WA,Democratic,47886902,873943
WV,Republican,14510598,252511
WI,Democratic,86133776,938774
WY,Republican,6804189,70309
