"Supplementary Table 4. IER, proportion and size of the 65+ year old Medicare population, and proportion of the deaths among the 65+ year old Medicare population that are expected to exceed K-fold of US average risk within each of the 3113 US counties",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
FIPS,Latitude,Longitude,State,County,Population,IER,HighRisk-Proportion-among-all(k=1.2),HighRisk-Size-among-all(k=1.2),HighRisk-Proportion-among-all(k=2),HighRisk-Size-among-all(k=2),HighRisk-Proportion-among-all(k=5),HighRisk-Size-among-all(k=5),HighRisk-Proportion-among-all(k=10),HighRisk-Size-among-all(k=10),HighRisk-Proportion-among-deaths(k=1.2),HighRisk-Proportion-among-deaths(k=2),HighRisk-Proportion-among-deaths(k=5),HighRisk-Proportion-among-deaths(k=10)
01001,32.536382,-86.64449,Alabama,Autauga County,4410,"2.79 (2.62, 3.46)","68.4% (64.8%, 75.4%)","  3,014 (2,855, 3,324)","46.6% (43.3%, 55.3%)","  2,054 (1,908, 2,439)","13.7% (12.3%, 19.5%)","    602 (543, 859)","3.1% (2.8%, 5.4%)","    139 (122, 238)","91.7% (90.5%, 94.6%)","79.4% (77.5%, 85.4%)","42.5% (40.5%, 52.7%)","17.0% (16.0%, 24.9%)"
01003,30.659218,-87.746067,Alabama,Baldwin County,20466,"2.17 (2.04, 2.68)","61.3% (57.3%, 69.8%)"," 12,553 (11,734, 14,285)","37.4% (34.2%, 46.7%)","  7,662 (6,997, 9,567)","7.9% (6.9%, 12.3%)","  1,618 (1,413, 2,521)","1.3% (1.1%, 2.5%)","    259 (219, 504)","87.0% (85.2%, 91.4%)","69.8% (67.2%, 77.9%)","28.4% (26.3%, 38.2%)","8.1% (7.3%, 13.4%)"
01005,31.87067,-85.405456,Alabama,Barbour County,2652,"5.32 (5.1, 6.52)","86.2% (84.1%, 89.5%)","  2,285 (2,230, 2,374)","70.9% (68.3%, 76.8%)","  1,881 (1,811, 2,035)","34.1% (31.9%, 41.4%)","    903 (847, 1,098)","12.7% (12.0%, 17.7%)","    338 (318, 470)","97.9% (97.6%, 98.7%)","93.4% (92.6%, 95.5%)","70.6% (69.4%, 77.6%)","42.6% (41.8%, 52.2%)"
01007,33.015893,-87.127148,Alabama,Bibb County,1884,"3.1 (2.93, 3.83)","71.7% (68.7%, 78.0%)","  1,351 (1,295, 1,469)","50.7% (47.7%, 58.9%)","    955 (899, 1,110)","16.3% (15.0%, 22.6%)","    307 (282, 426)","4.1% (3.7%, 6.8%)","     78 (70, 128)","93.2% (92.3%, 95.6%)","82.5% (81.0%, 87.7%)","47.5% (45.7%, 57.3%)","20.6% (19.8%, 29.1%)"
01009,33.977448,-86.567246,Alabama,Blount County,5396,"2.52 (2.37, 3.1)","67.0% (63.8%, 74.5%)","  3,615 (3,445, 4,018)","43.8% (40.7%, 52.9%)","  2,362 (2,198, 2,853)","11.0% (9.8%, 16.2%)","    593 (527, 876)","2.1% (1.8%, 3.8%)","    112 (97, 203)","90.2% (88.8%, 93.7%)","75.8% (73.6%, 82.6%)","35.5% (33.3%, 45.5%)","11.9% (10.8%, 18.3%)"
01011,32.101759,-85.717261,Alabama,Bullock County,904,"6.94 (6.62, 8.47)","92.0% (90.3%, 94.2%)","    832 (816, 852)","80.5% (78.0%, 85.1%)","    728 (705, 769)","45.3% (42.5%, 52.9%)","    409 (384, 479)","19.5% (18.1%, 25.7%)","    177 (164, 233)","99.0% (98.8%, 99.4%)","96.4% (95.8%, 97.7%)","79.3% (78.0%, 84.8%)","53.1% (51.8%, 62.3%)"
01013,31.751667,-86.681969,Alabama,Butler County,2119,"6.02 (5.74, 7.33)","87.0% (85.0%, 90.3%)","  1,844 (1,802, 1,913)","73.0% (70.5%, 78.5%)","  1,547 (1,493, 1,664)","37.8% (35.5%, 45.0%)","    802 (752, 953)","15.7% (14.6%, 20.8%)","    332 (309, 441)","98.3% (98.0%, 98.9%)","94.6% (93.9%, 96.3%)","75.3% (73.9%, 81.2%)","49.4% (48.1%, 58.1%)"
01015,33.771706,-85.822513,Alabama,Calhoun County,10549,"3.72 (3.53, 4.58)","78.4% (75.5%, 83.6%)","  8,268 (7,966, 8,815)","58.9% (55.6%, 66.4%)","  6,212 (5,868, 7,009)","21.8% (20.0%, 28.6%)","  2,295 (2,111, 3,017)","6.2% (5.6%, 9.6%)","    650 (595, 1,014)","95.5% (94.8%, 97.1%)","87.2% (85.9%, 91.2%)","55.2% (53.6%, 64.5%)","26.5% (25.5%, 35.5%)"
01017,32.917943,-85.391812,Alabama,Chambers County,3441,"5.29 (5.07, 6.46)","85.7% (83.6%, 89.2%)","  2,949 (2,875, 3,069)","70.3% (67.7%, 76.2%)","  2,420 (2,330, 2,623)","33.7% (31.5%, 41.0%)","  1,159 (1,084, 1,410)","12.6% (11.8%, 17.5%)","    435 (406, 601)","97.9% (97.5%, 98.7%)","93.2% (92.4%, 95.4%)","70.5% (69.2%, 77.4%)","42.7% (41.9%, 52.0%)"
