Supplementary Table 6.1. Validation of the risk projections for the general adult population across 477 US cities using recent county-level death data in the US. The p-values were obtained from two-sided z test.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
End date of the 2-week period,Coefficient of IER,95%CI Lower Bound,95%CI Upper Bound ,P-value of IER
2020-06-20 00:00:00,0.679,0.383,0.975,7.07e-06
2020-06-21 00:00:00,0.65,0.356,0.945,1.51e-05
2020-06-22 00:00:00,0.657,0.368,0.946,8.35e-06
2020-06-23 00:00:00,0.703,0.41,0.996,2.61e-06
2020-06-24 00:00:00,0.702,0.408,0.996,2.88e-06
2020-06-25 00:00:00,1.01,0.685,1.33,7.89e-10
2020-06-26 00:00:00,1.01,0.69,1.32,5.05e-10
2020-06-27 00:00:00,0.943,0.625,1.26,6.09e-09
2020-06-28 00:00:00,0.951,0.632,1.27,5.18e-09
2020-06-29 00:00:00,0.967,0.655,1.28,1.24e-09
2020-06-30 00:00:00,0.96,0.649,1.27,1.42e-09
2020-07-01 00:00:00,1.04,0.738,1.35,2.66e-11
2020-07-02 00:00:00,1.1,0.79,1.41,2.66e-12
2020-07-03 00:00:00,1.14,0.831,1.45,5.75e-13
2020-07-04 00:00:00,1.14,0.819,1.45,2.03e-12
2020-07-05 00:00:00,1.15,0.834,1.47,1.1e-12
2020-07-06 00:00:00,1.12,0.806,1.44,4.58e-12
2020-07-07 00:00:00,1.11,0.797,1.42,2.85e-12
2020-07-08 00:00:00,1.11,0.798,1.41,1.89e-12
2020-07-09 00:00:00,0.838,0.571,1.11,8.18e-10
2020-07-10 00:00:00,0.87,0.609,1.13,6.87e-11
2020-07-11 00:00:00,0.878,0.62,1.14,2.58e-11
2020-07-12 00:00:00,0.934,0.674,1.19,1.71e-12
2020-07-13 00:00:00,0.938,0.679,1.2,1.27e-12
2020-07-14 00:00:00,0.951,0.692,1.21,5.37e-13
2020-07-15 00:00:00,0.945,0.685,1.21,1.13e-12
2020-07-16 00:00:00,0.976,0.717,1.24,1.56e-13
2020-07-17 00:00:00,1,0.742,1.26,2.84e-14
2020-07-18 00:00:00,1.03,0.773,1.29,5.07e-15
2020-07-19 00:00:00,1.02,0.758,1.28,2.11e-14
2020-07-20 00:00:00,1.01,0.753,1.28,3.18e-14
2020-07-21 00:00:00,1.05,0.795,1.31,1.28e-15
2020-07-22 00:00:00,1.08,0.822,1.34,2.57e-16
2020-07-23 00:00:00,0.992,0.736,1.25,3.33e-14
2020-07-24 00:00:00,1.05,0.792,1.3,8.7e-16
2020-07-25 00:00:00,1.08,0.818,1.34,3.65e-16
2020-07-26 00:00:00,1.04,0.78,1.29,1.87e-15
2020-07-27 00:00:00,1.02,0.767,1.27,2.88e-15
2020-07-28 00:00:00,0.983,0.724,1.24,1.04e-13
2020-07-29 00:00:00,1.01,0.752,1.26,1.14e-14
2020-07-30 00:00:00,1.01,0.75,1.26,1.53e-14
2020-07-31 00:00:00,0.974,0.717,1.23,1.03e-13
2020-08-01 00:00:00,0.939,0.685,1.19,4.13e-13
2020-08-02 00:00:00,0.944,0.692,1.2,1.95e-13
2020-08-03 00:00:00,0.947,0.693,1.2,2.78e-13
2020-08-04 00:00:00,0.956,0.697,1.22,5.13e-13
2020-08-05 00:00:00,0.95,0.687,1.21,1.37e-12
2020-08-06 00:00:00,0.95,0.687,1.21,1.55e-12
2020-08-07 00:00:00,0.919,0.654,1.18,1.03e-11
2020-08-08 00:00:00,0.909,0.649,1.17,7.19e-12
2020-08-09 00:00:00,0.939,0.676,1.2,2.71e-12
2020-08-10 00:00:00,0.986,0.723,1.25,2.08e-13
2020-08-11 00:00:00,0.994,0.738,1.25,2.76e-14
2020-08-12 00:00:00,1.02,0.763,1.28,7.84e-15
2020-08-13 00:00:00,0.992,0.73,1.25,1.29e-13
2020-08-14 00:00:00,0.994,0.731,1.26,1.38e-13
2020-08-15 00:00:00,0.995,0.734,1.26,7.82e-14
2020-08-16 00:00:00,1.02,0.756,1.28,2.96e-14
2020-08-17 00:00:00,1.02,0.75,1.28,7.46e-14
2020-08-18 00:00:00,1.02,0.759,1.29,3.07e-14
2020-08-19 00:00:00,0.996,0.739,1.25,3.03e-14
2020-08-20 00:00:00,1.02,0.762,1.27,4.71e-15
2020-08-21 00:00:00,1,0.749,1.25,5.99e-15
2020-08-22 00:00:00,1.05,0.795,1.3,6.16e-16
2020-08-23 00:00:00,1.05,0.798,1.31,5.03e-16
2020-08-24 00:00:00,1.04,0.791,1.3,6.24e-16
2020-08-25 00:00:00,1.02,0.769,1.28,2.46e-15
2020-08-26 00:00:00,0.993,0.743,1.24,5.81e-15
2020-08-27 00:00:00,0.967,0.72,1.21,1.8e-14
2020-08-28 00:00:00,0.951,0.703,1.2,5.28e-14
2020-08-29 00:00:00,0.983,0.734,1.23,1.01e-14
2020-08-30 00:00:00,0.97,0.728,1.21,3.88e-15
2020-08-31 00:00:00,0.968,0.727,1.21,3.19e-15
2020-09-01 00:00:00,0.973,0.734,1.21,1.47e-15
2020-09-02 00:00:00,0.988,0.748,1.23,7.48e-16
2020-09-03 00:00:00,1.03,0.787,1.27,9.09e-17
2020-09-04 00:00:00,1,0.761,1.25,4.53e-16
2020-09-05 00:00:00,0.923,0.683,1.16,5.34e-14
2020-09-06 00:00:00,0.907,0.667,1.15,1.11e-13
2020-09-07 00:00:00,0.919,0.68,1.16,5.25e-14
2020-09-08 00:00:00,0.871,0.631,1.11,1.25e-12
2020-09-09 00:00:00,0.828,0.591,1.07,7.38e-12
2020-09-10 00:00:00,0.808,0.573,1.04,1.51e-11
2020-09-11 00:00:00,0.81,0.573,1.05,2.1e-11
2020-09-12 00:00:00,0.79,0.552,1.03,7.53e-11
2020-09-13 00:00:00,0.807,0.568,1.05,3.66e-11
2020-09-14 00:00:00,0.823,0.583,1.06,1.82e-11
2020-09-15 00:00:00,0.833,0.596,1.07,4.99e-12
2020-09-16 00:00:00,0.847,0.613,1.08,1.35e-12
2020-09-17 00:00:00,0.784,0.552,1.02,3.6e-11
2020-09-18 00:00:00,0.814,0.579,1.05,1.15e-11
2020-09-19 00:00:00,0.838,0.599,1.08,6.73e-12
2020-09-20 00:00:00,0.834,0.598,1.07,4.28e-12
2020-09-21 00:00:00,0.822,0.588,1.06,5.97e-12
2020-09-22 00:00:00,0.85,0.618,1.08,6.93e-13
2020-09-23 00:00:00,0.865,0.63,1.1,4.92e-13
2020-09-24 00:00:00,0.874,0.636,1.11,6.32e-13
2020-09-25 00:00:00,0.844,0.611,1.08,1.44e-12
2020-09-26 00:00:00,0.797,0.559,1.03,5.13e-11
2020-09-27 00:00:00,0.789,0.551,1.03,7.35e-11
2020-09-28 00:00:00,0.817,0.578,1.06,2.28e-11
2020-09-29 00:00:00,0.802,0.568,1.04,2.11e-11
2020-09-30 00:00:00,0.786,0.554,1.02,2.97e-11
2020-10-01 00:00:00,0.765,0.536,0.994,5.68e-11
"Note: results were obtained from negative binomial regression of 2-week cumulative death rates on each factor without adjusting for other factors, with population sizes being the offset terms for modeling death rates",,,,
