Supplementary Table 6.2. Estimated variation (R2) explained by the various factors using recent county-level death data in the US,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
End date of the 2-week period,Unconditional analysis,,,Adjusting for regions,,
,IER,Population density,3-week prior infection rate over 2-week period,IER,Population density,3-week prior infection rate over 2-week period
2020-06-20 00:00:00,0.0912,0.0343,0.0383,0.134,0.000474,0.203
2020-06-21 00:00:00,0.0826,0.0313,0.0278,0.115,0.000279,0.188
2020-06-22 00:00:00,0.0908,0.0309,0.0232,0.122,7.46e-05,0.164
2020-06-23 00:00:00,0.105,0.0261,0.0259,0.137,0.000211,0.163
2020-06-24 00:00:00,0.103,0.0261,0.0163,0.138,0.000111,0.151
2020-06-25 00:00:00,0.125,0.0569,0.00105,0.155,0.000733,0.11
2020-06-26 00:00:00,0.126,0.052,0.000566,0.152,3.65e-05,0.116
2020-06-27 00:00:00,0.115,0.0495,0.00111,0.129,1.36e-08,0.108
2020-06-28 00:00:00,0.112,0.0491,0.00102,0.125,3e-07,0.0977
2020-06-29 00:00:00,0.121,0.0445,0.000552,0.127,1.52e-05,0.098
2020-06-30 00:00:00,0.119,0.0425,2.77e-07,0.129,3.48e-05,0.0865
2020-07-01 00:00:00,0.138,0.036,0.000876,0.143,0.000285,0.0824
2020-07-02 00:00:00,0.145,0.0363,0.000343,0.155,0.000184,0.0817
2020-07-03 00:00:00,0.159,0.0373,0.00106,0.16,0.000175,0.0804
2020-07-04 00:00:00,0.156,0.0314,0.00175,0.151,0.000819,0.0865
2020-07-05 00:00:00,0.158,0.0335,0.00238,0.15,1.91e-06,0.0817
2020-07-06 00:00:00,0.143,0.0292,0.00423,0.132,5.3e-05,0.0904
2020-07-07 00:00:00,0.15,0.0294,0.00546,0.136,1.84e-05,0.0934
2020-07-08 00:00:00,0.145,0.0251,0.00953,0.126,2.35e-05,0.0887
2020-07-09 00:00:00,0.146,0.00348,0.055,0.116,0.00228,0.101
2020-07-10 00:00:00,0.16,0.000304,0.0637,0.136,0.00558,0.103
2020-07-11 00:00:00,0.169,1.24e-07,0.0733,0.138,0.00675,0.101
2020-07-12 00:00:00,0.182,0.000715,0.0854,0.15,0.00273,0.108
2020-07-13 00:00:00,0.185,0.000912,0.0873,0.143,0.00302,0.103
2020-07-14 00:00:00,0.186,7.97e-05,0.0945,0.142,0.00367,0.0946
2020-07-15 00:00:00,0.179,0.000495,0.12,0.129,0.00178,0.101
2020-07-16 00:00:00,0.182,0.000301,0.139,0.125,0.00574,0.102
2020-07-17 00:00:00,0.191,0.000675,0.158,0.133,0.00521,0.106
2020-07-18 00:00:00,0.196,0.000372,0.176,0.135,0.00412,0.114
2020-07-19 00:00:00,0.191,4.35e-06,0.166,0.14,0.00173,0.116
2020-07-20 00:00:00,0.188,0.000346,0.175,0.139,0.00257,0.123
2020-07-21 00:00:00,0.196,0.000377,0.19,0.14,0.00232,0.128
2020-07-22 00:00:00,0.204,0.000988,0.225,0.147,0.00245,0.132
2020-07-23 00:00:00,0.177,0.00321,0.237,0.129,0.00284,0.123
2020-07-24 00:00:00,0.199,0.00123,0.262,0.147,0.000896,0.128
2020-07-25 00:00:00,0.198,0.000988,0.282,0.15,0.000233,0.132
2020-07-26 00:00:00,0.193,0.00146,0.27,0.144,0.000765,0.123
2020-07-27 00:00:00,0.201,0.00391,0.295,0.152,0.00159,0.118
2020-07-28 00:00:00,0.185,0.00467,0.318,0.138,0.00208,0.127
2020-07-29 00:00:00,0.197,0.00461,0.359,0.153,0.000876,0.143
2020-07-30 00:00:00,0.185,0.00514,0.376,0.14,0.00135,0.153
2020-07-31 00:00:00,0.17,0.00857,0.4,0.128,0.00314,0.16
2020-08-01 00:00:00,0.162,0.0119,0.404,0.125,0.00367,0.161
2020-08-02 00:00:00,0.159,0.0139,0.39,0.122,0.0052,0.158
2020-08-03 00:00:00,0.163,0.0116,0.364,0.123,0.00478,0.145
2020-08-04 00:00:00,0.169,0.0115,0.383,0.126,0.00505,0.157
2020-08-05 00:00:00,0.161,0.0137,0.405,0.123,0.00451,0.15
2020-08-06 00:00:00,0.164,0.0175,0.397,0.127,0.00666,0.142
2020-08-07 00:00:00,0.152,0.0164,0.41,0.117,0.00573,0.146
2020-08-08 00:00:00,0.155,0.02,0.395,0.124,0.00667,0.138
2020-08-09 00:00:00,0.161,0.0206,0.381,0.129,0.00677,0.13
2020-08-10 00:00:00,0.167,0.0242,0.363,0.137,0.00734,0.124
2020-08-11 00:00:00,0.169,0.0239,0.393,0.141,0.0065,0.139
2020-08-12 00:00:00,0.177,0.0322,0.4,0.154,0.0134,0.139
2020-08-13 00:00:00,0.171,0.0333,0.407,0.159,0.0113,0.142
2020-08-14 00:00:00,0.167,0.0266,0.425,0.152,0.0103,0.152
2020-08-15 00:00:00,0.166,0.023,0.446,0.151,0.00721,0.169
2020-08-16 00:00:00,0.165,0.0235,0.45,0.153,0.00552,0.164
2020-08-17 00:00:00,0.156,0.0206,0.451,0.142,0.00364,0.164
2020-08-18 00:00:00,0.156,0.0187,0.451,0.142,0.00291,0.163
2020-08-19 00:00:00,0.151,0.0189,0.422,0.144,0.00179,0.162
2020-08-20 00:00:00,0.156,0.013,0.382,0.134,0.00275,0.146
2020-08-21 00:00:00,0.159,0.0129,0.377,0.135,0.0025,0.149
2020-08-22 00:00:00,0.172,0.0107,0.366,0.146,0.00203,0.14
2020-08-23 00:00:00,0.174,0.0106,0.364,0.15,0.00173,0.135
2020-08-24 00:00:00,0.173,0.0125,0.338,0.144,0.00434,0.122
2020-08-25 00:00:00,0.17,0.0139,0.335,0.139,0.00846,0.126
2020-08-26 00:00:00,0.164,0.0118,0.32,0.136,0.00594,0.118
2020-08-27 00:00:00,0.153,0.0156,0.3,0.127,0.00702,0.111
2020-08-28 00:00:00,0.149,0.017,0.289,0.127,0.00674,0.0944
2020-08-29 00:00:00,0.163,0.0209,0.276,0.139,0.00873,0.0946
2020-08-30 00:00:00,0.177,0.0145,0.265,0.144,0.0087,0.093
2020-08-31 00:00:00,0.178,0.0135,0.263,0.149,0.00666,0.0953
2020-09-01 00:00:00,0.182,0.0119,0.231,0.152,0.00644,0.0832
2020-09-02 00:00:00,0.182,0.00917,0.199,0.15,0.00799,0.0725
2020-09-03 00:00:00,0.192,0.0106,0.223,0.172,0.00683,0.0693
2020-09-04 00:00:00,0.186,0.00856,0.179,0.164,0.00605,0.0455
2020-09-05 00:00:00,0.165,0.00823,0.153,0.148,0.00329,0.0375
2020-09-06 00:00:00,0.16,0.00921,0.137,0.141,0.0024,0.0399
2020-09-07 00:00:00,0.162,0.0107,0.139,0.144,0.00443,0.0415
2020-09-08 00:00:00,0.151,0.0118,0.124,0.132,0.00439,0.035
2020-09-09 00:00:00,0.134,0.0205,0.157,0.122,0.0119,0.0418
2020-09-10 00:00:00,0.122,0.0419,0.17,0.118,0.018,0.0427
2020-09-11 00:00:00,0.116,0.0393,0.142,0.114,0.0143,0.0227
2020-09-12 00:00:00,0.109,0.0428,0.126,0.101,0.0187,0.0216
2020-09-13 00:00:00,0.107,0.0422,0.119,0.0993,0.0198,0.018
2020-09-14 00:00:00,0.116,0.0407,0.129,0.102,0.0241,0.0223
2020-09-15 00:00:00,0.13,0.0315,0.111,0.113,0.0173,0.0177
2020-09-16 00:00:00,0.14,0.0329,0.106,0.123,0.0179,0.014
