Supplementary Table 7.1. Validation of risk projections for the 65+ year old population across 2999 US counties using recent county-level death data in the US,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
End date of the 2-week period,Coefficient of IER,95% CI Lower Bound,95% CI Upper Bound ,P-value of IER,Total number of confirmed COVID-19 deaths within the 2-week period
2020-06-20 00:00:00,0.664,0.516,0.812,1.29e-18,9337
2020-06-21 00:00:00,0.634,0.487,0.78,2.44e-17,9186
2020-06-22 00:00:00,0.616,0.472,0.761,6.35e-17,9086
2020-06-23 00:00:00,0.646,0.503,0.789,8.18e-19,8999
2020-06-24 00:00:00,0.653,0.51,0.795,2.28e-19,8873
2020-06-25 00:00:00,0.655,0.503,0.807,2.72e-17,10424
2020-06-26 00:00:00,0.647,0.496,0.799,5.78e-17,10195
2020-06-27 00:00:00,0.653,0.502,0.804,2.49e-17,9944
2020-06-28 00:00:00,0.647,0.496,0.798,3.97e-17,9893
2020-06-29 00:00:00,0.677,0.526,0.828,1.31e-18,9855
2020-06-30 00:00:00,0.695,0.544,0.847,2.38e-19,9805
2020-07-01 00:00:00,0.745,0.593,0.898,1.02e-21,9740
2020-07-02 00:00:00,0.794,0.641,0.947,3.08e-24,9721
2020-07-03 00:00:00,0.808,0.654,0.963,1.14e-24,9734
2020-07-04 00:00:00,0.847,0.69,1,3.92e-26,9390
2020-07-05 00:00:00,0.86,0.702,1.02,1.47e-26,9375
2020-07-06 00:00:00,0.832,0.673,0.992,1.53e-24,9380
2020-07-07 00:00:00,0.844,0.685,1,1.8e-25,9526
2020-07-08 00:00:00,0.804,0.649,0.96,4.11e-24,9631
2020-07-09 00:00:00,0.819,0.676,0.963,4.12e-29,8219
2020-07-10 00:00:00,0.826,0.687,0.966,3.28e-31,8422
2020-07-11 00:00:00,0.817,0.679,0.954,2.37e-31,8575
2020-07-12 00:00:00,0.832,0.695,0.968,6.37e-33,8757
2020-07-13 00:00:00,0.822,0.687,0.957,4.89e-33,8791
2020-07-14 00:00:00,0.829,0.693,0.965,5.37e-33,8959
2020-07-15 00:00:00,0.813,0.676,0.949,1.82e-31,9255
2020-07-16 00:00:00,0.8,0.664,0.937,1.1e-30,9495
2020-07-17 00:00:00,0.835,0.699,0.97,1.06e-33,9729
2020-07-18 00:00:00,0.871,0.738,1,9.17e-38,10324
2020-07-19 00:00:00,0.871,0.739,1,2.09e-38,10470
2020-07-20 00:00:00,0.862,0.73,0.994,1.43e-37,10580
2020-07-21 00:00:00,0.88,0.749,1.01,9.38e-40,10671
2020-07-22 00:00:00,0.941,0.811,1.07,1.29e-45,11011
2020-07-23 00:00:00,0.947,0.816,1.08,8.1e-46,11113
2020-07-24 00:00:00,0.97,0.838,1.1,1.66e-47,11402
2020-07-25 00:00:00,1,0.867,1.13,1.19e-49,11635
2020-07-26 00:00:00,0.993,0.862,1.12,1.13e-49,11623
2020-07-27 00:00:00,0.996,0.864,1.13,6.24e-50,12414
2020-07-28 00:00:00,1,0.872,1.13,1.63e-51,12842
2020-07-29 00:00:00,1.04,0.913,1.17,1.61e-57,13213
2020-07-30 00:00:00,1.11,0.985,1.24,8.66e-66,13521
2020-07-31 00:00:00,1.11,0.988,1.24,1.21e-66,13963
2020-08-01 00:00:00,1.09,0.968,1.22,5.68e-64,14100
2020-08-02 00:00:00,1.09,0.963,1.22,1.44e-63,14056
2020-08-03 00:00:00,1.1,0.973,1.23,1.15e-64,14073
2020-08-04 00:00:00,1.11,0.978,1.23,4.08e-65,14293
2020-08-05 00:00:00,1.08,0.955,1.21,2.45e-63,14402
2020-08-06 00:00:00,1.08,0.957,1.21,9.97e-64,14508
2020-08-07 00:00:00,1.08,0.955,1.21,7.83e-63,14564
2020-08-08 00:00:00,1.06,0.931,1.18,4.69e-61,14758
2020-08-09 00:00:00,1.05,0.928,1.18,1.99e-61,14778
2020-08-10 00:00:00,1.04,0.919,1.16,3.18e-63,14108
2020-08-11 00:00:00,1.05,0.931,1.17,1.29e-64,14056
2020-08-12 00:00:00,1.05,0.924,1.17,6.75e-63,14162
2020-08-13 00:00:00,1,0.877,1.12,4.87e-57,13948
2020-08-14 00:00:00,1.01,0.882,1.13,7.11e-57,13881
2020-08-15 00:00:00,1.01,0.886,1.14,1.25e-55,13916
2020-08-16 00:00:00,1.02,0.89,1.15,6.58e-55,13978
2020-08-17 00:00:00,1,0.872,1.13,3.65e-53,13907
2020-08-18 00:00:00,1.01,0.88,1.13,1.49e-54,13899
2020-08-19 00:00:00,0.977,0.852,1.1,7.21e-53,13861
2020-08-20 00:00:00,1.01,0.885,1.14,1.58e-55,13845
2020-08-21 00:00:00,1.04,0.92,1.17,1.48e-60,13765
2020-08-22 00:00:00,1.05,0.926,1.18,1.4e-60,13652
2020-08-23 00:00:00,1.05,0.926,1.18,2.12e-60,13565
2020-08-24 00:00:00,1.03,0.903,1.15,1e-57,13475
2020-08-25 00:00:00,1.04,0.912,1.16,1.15e-58,13366
2020-08-26 00:00:00,1.06,0.939,1.19,7.4e-63,13122
2020-08-27 00:00:00,1.04,0.916,1.17,2.7e-59,13170
2020-08-28 00:00:00,1.01,0.884,1.13,6.67e-57,12818
2020-08-29 00:00:00,0.99,0.868,1.11,9.08e-57,12787
2020-08-30 00:00:00,0.982,0.862,1.1,2.85e-57,12758
2020-08-31 00:00:00,0.987,0.867,1.11,3.49e-58,12896
2020-09-01 00:00:00,1,0.882,1.12,3.9e-60,12643
2020-09-02 00:00:00,0.99,0.87,1.11,3.53e-59,12442
2020-09-03 00:00:00,0.98,0.861,1.1,1.85e-58,12314
2020-09-04 00:00:00,0.96,0.841,1.08,4.15e-56,12156
2020-09-05 00:00:00,0.934,0.815,1.05,1.55e-53,11929
2020-09-06 00:00:00,0.944,0.825,1.06,2.04e-54,11894
2020-09-07 00:00:00,0.957,0.837,1.08,3.4e-55,11738
2020-09-08 00:00:00,0.931,0.809,1.05,5.1e-51,10991
2020-09-09 00:00:00,0.896,0.776,1.02,3.25e-48,10942
2020-09-10 00:00:00,0.872,0.753,0.991,1.08e-46,10776
2020-09-11 00:00:00,0.876,0.756,0.996,2.53e-46,11010
2020-09-12 00:00:00,0.876,0.755,0.997,1.52e-45,10709
2020-09-13 00:00:00,0.883,0.761,1.01,1.65e-45,10662
2020-09-14 00:00:00,0.909,0.786,1.03,7.44e-48,10479
2020-09-15 00:00:00,0.903,0.781,1.02,6.05e-48,10670
2020-09-16 00:00:00,0.909,0.791,1.03,5.87e-51,10667
2020-09-17 00:00:00,0.919,0.8,1.04,7.27e-52,10464
2020-09-18 00:00:00,0.93,0.81,1.05,6.35e-52,10434
2020-09-19 00:00:00,0.905,0.786,1.02,5.79e-50,10387
2020-09-20 00:00:00,0.883,0.765,1,3.64e-48,10298
2020-09-21 00:00:00,0.86,0.742,0.978,5.06e-46,10425
2020-09-22 00:00:00,0.872,0.756,0.988,5.53e-49,10896
2020-09-23 00:00:00,0.891,0.774,1.01,1.59e-50,10853
2020-09-24 00:00:00,0.895,0.778,1.01,6.67e-51,10845
2020-09-25 00:00:00,0.863,0.745,0.98,5.11e-47,10593
2020-09-26 00:00:00,0.847,0.729,0.965,4.76e-45,10634
2020-09-27 00:00:00,0.831,0.713,0.95,5.51e-43,10518
2020-09-28 00:00:00,0.848,0.729,0.967,4.49e-44,10439
2020-09-29 00:00:00,0.837,0.719,0.955,4.25e-44,10130
2020-09-30 00:00:00,0.817,0.697,0.936,8.05e-41,9993
