Supplementary Table 7.2. Validation of risk projections for the 65+ year old population across 2999 US counties using recent county-level death data in the US. The p-values were obtained from two-sided z-test.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
End date of the 2-week period,Unconditional analysis,,,Adjusting for regions,,
,IER,Population density,3-week prior infection rate over 2-week period,IER,Population density,3-week prior infection rate over 2-week period
2020-06-20 00:00:00,0.0792,0.097,0.0926,0.0895,0.11,0.0919
2020-06-21 00:00:00,0.0722,0.101,0.0903,0.0881,0.111,0.0885
2020-06-22 00:00:00,0.0735,0.101,0.0807,0.0901,0.108,0.0749
2020-06-23 00:00:00,0.0843,0.113,0.0911,0.0935,0.118,0.0793
2020-06-24 00:00:00,0.0878,0.125,0.0912,0.0932,0.126,0.0766
2020-06-25 00:00:00,0.0788,0.088,0.072,0.0942,0.108,0.0756
2020-06-26 00:00:00,0.0821,0.0935,0.0678,0.0891,0.114,0.0669
2020-06-27 00:00:00,0.0826,0.105,0.0736,0.0922,0.119,0.0667
2020-06-28 00:00:00,0.0826,0.109,0.065,0.0903,0.122,0.0578
2020-06-29 00:00:00,0.088,0.111,0.0631,0.0939,0.123,0.0539
2020-06-30 00:00:00,0.0913,0.112,0.0697,0.0911,0.12,0.0564
2020-07-01 00:00:00,0.104,0.118,0.069,0.0953,0.125,0.0518
2020-07-02 00:00:00,0.119,0.133,0.0588,0.103,0.144,0.0443
2020-07-03 00:00:00,0.117,0.132,0.0569,0.0996,0.146,0.0425
2020-07-04 00:00:00,0.122,0.138,0.0608,0.0988,0.149,0.0422
2020-07-05 00:00:00,0.122,0.138,0.0601,0.101,0.148,0.0407
2020-07-06 00:00:00,0.114,0.136,0.0535,0.101,0.147,0.0386
2020-07-07 00:00:00,0.112,0.136,0.0586,0.104,0.145,0.0437
2020-07-08 00:00:00,0.106,0.134,0.0599,0.103,0.138,0.0412
2020-07-09 00:00:00,0.109,0.192,0.0836,0.102,0.169,0.039
2020-07-10 00:00:00,0.111,0.2,0.0948,0.105,0.174,0.0445
2020-07-11 00:00:00,0.115,0.2,0.104,0.1,0.174,0.0472
2020-07-12 00:00:00,0.119,0.198,0.106,0.104,0.169,0.0464
2020-07-13 00:00:00,0.12,0.197,0.1,0.102,0.17,0.0402
2020-07-14 00:00:00,0.117,0.208,0.116,0.0977,0.171,0.0429
2020-07-15 00:00:00,0.11,0.207,0.13,0.0995,0.173,0.052
2020-07-16 00:00:00,0.101,0.2,0.146,0.0943,0.167,0.0601
2020-07-17 00:00:00,0.108,0.204,0.157,0.0952,0.166,0.0619
2020-07-18 00:00:00,0.119,0.206,0.168,0.0981,0.164,0.0591
2020-07-19 00:00:00,0.12,0.198,0.167,0.0984,0.159,0.0592
2020-07-20 00:00:00,0.118,0.2,0.165,0.0969,0.161,0.0581
2020-07-21 00:00:00,0.122,0.195,0.177,0.0965,0.156,0.0602
2020-07-22 00:00:00,0.131,0.195,0.205,0.0998,0.152,0.0675
2020-07-23 00:00:00,0.131,0.197,0.226,0.101,0.149,0.0713
2020-07-24 00:00:00,0.135,0.196,0.25,0.103,0.147,0.0812
2020-07-25 00:00:00,0.136,0.2,0.258,0.109,0.149,0.0866
2020-07-26 00:00:00,0.133,0.199,0.265,0.107,0.147,0.0847
2020-07-27 00:00:00,0.134,0.221,0.268,0.108,0.158,0.0855
2020-07-28 00:00:00,0.135,0.215,0.276,0.104,0.157,0.0887
2020-07-29 00:00:00,0.149,0.219,0.287,0.116,0.16,0.0998
2020-07-30 00:00:00,0.166,0.224,0.299,0.127,0.163,0.104
2020-07-31 00:00:00,0.163,0.228,0.294,0.132,0.164,0.103
2020-08-01 00:00:00,0.155,0.227,0.301,0.127,0.161,0.108
2020-08-02 00:00:00,0.154,0.226,0.284,0.123,0.159,0.0988
2020-08-03 00:00:00,0.154,0.224,0.278,0.122,0.159,0.0949
2020-08-04 00:00:00,0.154,0.23,0.291,0.121,0.161,0.101
2020-08-05 00:00:00,0.149,0.238,0.274,0.116,0.171,0.0932
2020-08-06 00:00:00,0.147,0.252,0.27,0.109,0.185,0.0898
2020-08-07 00:00:00,0.145,0.246,0.261,0.112,0.18,0.0851
2020-08-08 00:00:00,0.14,0.235,0.245,0.109,0.169,0.0802
2020-08-09 00:00:00,0.138,0.235,0.252,0.109,0.17,0.0863
2020-08-10 00:00:00,0.142,0.227,0.279,0.117,0.165,0.103
2020-08-11 00:00:00,0.143,0.221,0.302,0.114,0.16,0.117
2020-08-12 00:00:00,0.139,0.215,0.317,0.11,0.154,0.12
2020-08-13 00:00:00,0.13,0.203,0.304,0.106,0.143,0.115
2020-08-14 00:00:00,0.133,0.207,0.297,0.104,0.145,0.113
2020-08-15 00:00:00,0.129,0.204,0.287,0.102,0.143,0.108
2020-08-16 00:00:00,0.125,0.209,0.294,0.102,0.147,0.117
2020-08-17 00:00:00,0.123,0.209,0.282,0.0959,0.147,0.11
2020-08-18 00:00:00,0.125,0.209,0.274,0.0975,0.148,0.107
2020-08-19 00:00:00,0.121,0.21,0.256,0.0901,0.146,0.101
2020-08-20 00:00:00,0.128,0.203,0.261,0.0923,0.143,0.103
2020-08-21 00:00:00,0.138,0.213,0.258,0.0918,0.154,0.105
2020-08-22 00:00:00,0.14,0.207,0.256,0.093,0.154,0.105
2020-08-23 00:00:00,0.143,0.204,0.246,0.0935,0.151,0.0998
2020-08-24 00:00:00,0.136,0.207,0.241,0.0869,0.151,0.0957
2020-08-25 00:00:00,0.141,0.212,0.243,0.0859,0.154,0.0908
2020-08-26 00:00:00,0.149,0.226,0.232,0.0919,0.168,0.0904
2020-08-27 00:00:00,0.14,0.226,0.232,0.0918,0.164,0.0942
2020-08-28 00:00:00,0.133,0.232,0.235,0.0826,0.17,0.0972
2020-08-29 00:00:00,0.129,0.236,0.223,0.0807,0.172,0.094
2020-08-30 00:00:00,0.131,0.233,0.217,0.0777,0.172,0.0918
2020-08-31 00:00:00,0.131,0.228,0.21,0.0825,0.167,0.0892
2020-09-01 00:00:00,0.135,0.234,0.201,0.0833,0.175,0.0842
2020-09-02 00:00:00,0.125,0.229,0.19,0.0765,0.184,0.0828
2020-09-03 00:00:00,0.127,0.228,0.178,0.0798,0.18,0.0762
2020-09-04 00:00:00,0.122,0.22,0.167,0.0801,0.173,0.0729
2020-09-05 00:00:00,0.116,0.219,0.163,0.0737,0.174,0.074
2020-09-06 00:00:00,0.117,0.225,0.154,0.0785,0.181,0.0706
2020-09-07 00:00:00,0.116,0.229,0.148,0.0799,0.186,0.0652
2020-09-08 00:00:00,0.107,0.246,0.123,0.0779,0.2,0.0552
2020-09-09 00:00:00,0.0978,0.239,0.128,0.068,0.194,0.0589
2020-09-10 00:00:00,0.0935,0.242,0.139,0.0611,0.199,0.0695
2020-09-11 00:00:00,0.0925,0.24,0.142,0.0583,0.2,0.0686
2020-09-12 00:00:00,0.0919,0.245,0.146,0.0553,0.203,0.0694
2020-09-13 00:00:00,0.0924,0.247,0.139,0.0559,0.207,0.0642
2020-09-14 00:00:00,0.102,0.253,0.142,0.0569,0.214,0.0654
2020-09-15 00:00:00,0.102,0.252,0.147,0.0574,0.213,0.0706
2020-09-16 00:00:00,0.109,0.262,0.148,0.0617,0.22,0.068
2020-09-17 00:00:00,0.113,0.27,0.156,0.0605,0.228,0.0692
2020-09-18 00:00:00,0.111,0.275,0.151,0.0623,0.229,0.0668
