"Supplementary Table 3. IER, proportion and size of the general adult population, and proportion of the deaths that are expected to exceed K-fold of US average risk within each of the 477 US cities",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
CityFIPS,Latitude,Longitude,State,City,Population,IER,HighRisk-Proportion-among-all(k=1.2),HighRisk-Size-among-all(k=1.2),HighRisk-Proportion-among-all(k=2),HighRisk-Size-among-all(k=2),HighRisk-Proportion-among-all(k=5),HighRisk-Size-among-all(k=5),HighRisk-Proportion-among-all(k=10),HighRisk-Size-among-all(k=10),HighRisk-Proportion-among-deaths(k=1.2),HighRisk-Proportion-among-deaths(k=2),HighRisk-Proportion-among-deaths(k=5),HighRisk-Proportion-among-deaths(k=10)
0107000,33.5275663773,-86.7988174678,AL,Birmingham,212744,"1.73 (1.54, 1.78)","25.2% (24.3%, 26.8%)","   53,510 (51,704, 57,088)","17.5% (16.6%, 18.7%)","   37,322 (35,285, 39,826)","7.9% (7.2%, 8.4%)"," 16,874 (15,380, 17,780)","3.8% (3.3%, 4.0%)","  8,144 (7,026, 8,451)","90.6% (88.9%, 90.6%)","83.7% (81.0%, 83.6%)","66.3% (61.8%, 65.7%)","49.7% (43.7%, 48.8%)"
0135896,33.3767602729,-86.8051937568,AL,Hoover,84937,"1 (0.96, 1.1)","18.0% (17.8%, 19.9%)","   15,301 (15,125, 16,909)","11.8% (11.6%, 13.1%)","   10,059 (9,871, 11,113)","4.9% (4.6%, 5.4%)","  4,126 (3,901, 4,621)","1.6% (1.4%, 1.9%)","  1,389 (1,206, 1,606)","80.5% (79.3%, 81.9%)","71.0% (69.3%, 72.4%)","48.9% (45.9%, 50.7%)","26.5% (22.8%, 28.4%)"
0137000,34.6989692671,-86.6387042882,AL,Huntsville,195369,"0.89 (0.81, 0.97)","15.7% (15.0%, 17.4%)","   30,639 (29,217, 33,968)","10.1% (9.5%, 11.2%)","   19,806 (18,613, 21,965)","4.0% (3.6%, 4.5%)","  7,844 (7,004, 8,720)","1.5% (1.2%, 1.6%)","  2,850 (2,282, 3,210)","80.1% (77.9%, 81.3%)","70.4% (67.5%, 71.6%)","48.8% (44.2%, 50.1%)","28.7% (23.4%, 30.0%)"
0150000,30.6776248648,-88.1184482714,AL,Mobile,190273,"1.69 (1.55, 1.76)","24.8% (24.3%, 26.5%)","   47,226 (46,224, 50,381)","17.1% (16.5%, 18.3%)","   32,565 (31,371, 34,866)","7.6% (7.2%, 8.2%)"," 14,562 (13,615, 15,504)","3.7% (3.3%, 3.9%)","  7,016 (6,254, 7,401)","89.9% (88.6%, 90.2%)","82.8% (80.7%, 83.1%)","65.4% (61.8%, 65.4%)","48.9% (44.0%, 48.9%)"
0151000,32.3472645333,-86.2677059552,AL,Montgomery,199525,"1.78 (1.62, 1.85)","25.2% (24.7%, 26.8%)","   50,326 (49,321, 53,480)","17.7% (17.1%, 18.9%)","   35,346 (34,090, 37,650)","8.2% (7.7%, 8.7%)"," 16,388 (15,342, 17,348)","4.0% (3.6%, 4.3%)","  8,077 (7,256, 8,514)","90.8% (89.5%, 91.0%)","84.2% (82.1%, 84.4%)","67.5% (64.0%, 67.4%)","51.1% (46.2%, 50.9%)"
0177256,33.2336083951,-87.5268004073,AL,Tuscaloosa,100296,"0.77 (0.72, 0.82)","13.9% (13.5%, 15.1%)","   13,973 (13,505, 15,141)","9.0% (8.5%, 9.7%)","    9,001 (8,525, 9,766)","3.4% (3.1%, 3.7%)","  3,450 (3,157, 3,745)","1.3% (1.1%, 1.4%)","  1,295 (1,096, 1,420)","81.8% (79.7%, 82.5%)","71.8% (69.0%, 72.5%)","49.5% (45.4%, 50.2%)","30.1% (25.4%, 30.9%)"
0203000,61.149868731,-149.111113424,AK,Anchorage,294356,"0.46 (0.44, 0.51)","8.6% (8.1%, 9.8%)","   25,305 (23,922, 28,889)","4.9% (4.6%, 5.5%)","   14,442 (13,528, 16,297)","1.5% (1.4%, 1.8%)","  4,542 (3,963, 5,161)","0.4% (0.3%, 0.4%)","  1,140 (847, 1,313)","63.9% (61.3%, 65.5%)","51.8% (48.8%, 52.9%)","29.4% (25.6%, 30.4%)","12.4% (9.2%, 13.0%)"
0404720,33.3858367405,-112.323626619,AZ,Avondale,84034,"0.76 (0.71, 0.84)","13.1% (12.9%, 14.8%)","   11,021 (10,875, 12,462)","7.9% (7.6%, 9.0%)","    6,641 (6,383, 7,578)","3.1% (2.9%, 3.5%)","  2,571 (2,395, 2,921)","1.3% (1.1%, 1.5%)","  1,096 (902, 1,259)","78.7% (75.9%, 80.6%)","68.2% (64.0%, 70.2%)","48.8% (43.0%, 50.6%)","32.7% (25.2%, 34.5%)"
0412000,33.28318981,-111.852210033,AZ,Chandler,253448,"0.62 (0.59, 0.68)","11.7% (11.5%, 13.2%)","   29,608 (29,219, 33,454)","7.0% (6.8%, 7.8%)","   17,743 (17,316, 19,903)","2.4% (2.2%, 2.7%)","  6,109 (5,473, 6,841)","0.6% (0.5%, 0.7%)","  1,619 (1,188, 1,841)","69.6% (67.5%, 71.4%)","58.1% (55.3%, 59.4%)","35.0% (30.5%, 36.0%)","15.4% (10.9%, 16.1%)"
0427400,33.310149392,-111.746237467,AZ,Gilbert,242362,"0.49 (0.47, 0.54)","8.5% (8.3%, 9.7%)","   20,682 (20,217, 23,556)","5.0% (4.8%, 5.6%)","   12,054 (11,711, 13,503)","1.8% (1.6%, 2.0%)","  4,368 (3,978, 4,865)","0.5% (0.4%, 0.6%)","  1,276 (974, 1,445)","65.3% (63.2%, 67.0%)","54.3% (51.6%, 55.4%)","34.3% (30.3%, 35.2%)","16.4% (12.3%, 17.3%)"
0427820,33.5796123089,-112.225306421,AZ,Glendale,246708,"0.76 (0.72, 0.82)","13.7% (13.5%, 15.4%)","   33,834 (33,263, 38,014)","8.2% (7.9%, 9.2%)","   20,252 (19,548, 22,721)","3.1% (2.8%, 3.4%)","  7,602 (6,975, 8,367)","1.2% (0.9%, 1.2%)","  2,872 (2,271, 3,088)","76.0% (73.4%, 77.1%)","64.9% (61.2%, 65.7%)","44.3% (39.1%, 44.5%)","26.8% (20.4%, 26.9%)"
0446000,33.4022837359,-111.718721181,AZ,Mesa,496395,"0.98 (0.92, 1.05)","17.4% (17.0%, 18.9%)","   86,336 (84,418, 94,055)","11.6% (11.2%, 12.6%)","   57,622 (55,736, 62,606)","4.9% (4.5%, 5.3%)"," 24,054 (22,154, 26,256)","1.7% (1.4%, 1.9%)","  8,456 (6,937, 9,262)","81.9% (80.2%, 82.7%)","72.9% (70.4%, 73.6%)","51.1% (46.8%, 52.1%)","28.8% (23.3%, 29.6%)"
