,Unnamed: 0,state,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,m50,m50_index,fips_y,cases,deaths,log_cases,COVID-19_mobility_pool_indicator,IER
0,0,Alabama,2021-01-15,-18.0,-12.0,-16.0,-17.0,-24.0,9.0,10.199,96.0,1,417528,6030,12.942106886892494,-10.416140621380569,1.2
1,1,Alaska,2021-01-15,-19.0,-14.0,-6.0,-33.0,-31.0,12.0,3.5210000000000004,87.0,2,51163,220,10.842771893535701,-13.63956311602036,0.6
2,2,Arizona,2021-01-15,-23.0,-14.0,-25.0,-30.0,-37.0,13.0,4.726,60.0,4,662597,11060,13.403922241219211,-18.277724524410967,1.09
3,3,Arkansas,2021-01-15,-17.0,-10.0,0.0,-12.0,-24.0,9.0,8.398,87.0,5,267635,4263,12.497379390910856,-5.241935612025042,1.06
4,4,California,2021-01-15,-37.0,-18.0,-24.0,-51.0,-43.0,16.0,2.027,29.0,6,2937755,32947,14.893156242177547,-25.91927294574089,1.09
5,5,Colorado,2021-01-15,-27.0,-12.0,-17.0,-41.0,-35.0,13.0,4.703,66.0,8,373647,5417,12.831066780422152,-19.13847656067675,0.65
6,6,Connecticut,2021-01-15,-27.0,-18.0,-20.0,-40.0,-32.0,14.0,4.412,65.0,9,223422,6594,12.31681763883484,-19.973357932706552,0.88
7,7,Delaware,2021-01-15,-22.0,-12.0,-18.0,-45.0,-33.0,13.0,5.62,67.0,10,68727,1002,11.137897414101458,-19.43672081436081,0.91
8,8,District of Columbia,2021-01-15,-58.0,-30.0,-54.0,-72.0,-59.0,21.0,0.794,21.0,11,33140,842,10.408496290980557,-43.11917693868888,1.39
9,9,Florida,2021-01-15,-23.0,-14.0,-29.0,-37.0,-29.0,9.0,6.76,82.0,12,1548059,23798,14.252512446100592,-20.27855682419629,1.36
10,10,Georgia,2021-01-15,-21.0,-13.0,-7.0,-32.0,-31.0,11.0,8.408,86.0,13,776485,11757,13.562532603934198,-12.911313989850607,1.06
11,11,Hawaii,2021-01-15,-36.0,-23.0,-41.0,-56.0,-34.0,13.0,4.792,70.0,15,24032,315,10.08714155456386,-30.746915230466584,0.94
12,12,Idaho,2021-01-15,-13.0,-8.0,-3.0,-21.0,-24.0,8.0,4.697,86.0,16,154785,1606,11.949792336217925,-8.276682351987468,0.69
13,13,Illinois,2021-01-15,-33.0,-16.0,-38.0,-45.0,-35.0,14.0,4.759,65.0,17,1062121,19876,13.87577841026368,-26.40830758300743,1.02
14,14,Indiana,2021-01-15,-19.0,-14.0,-12.0,-19.0,-24.0,10.0,6.933,83.0,18,586206,9246,13.28142654262108,-10.77019826864643,0.89
15,15,Iowa,2021-01-15,-32.0,-21.0,-26.0,-37.0,-38.0,17.0,2.551,36.0,19,303927,4257,12.624542819973206,-22.214191443040704,0.68
16,16,Kansas,2021-01-15,-27.0,-24.0,-25.0,-19.0,-25.0,10.0,4.623,62.0,20,259196,3514,12.465339811242414,-16.365601576772587,0.77
17,17,Kentucky,2021-01-15,-23.0,-9.0,-10.0,-19.0,-30.0,11.0,7.374,85.0,21,324505,3395,12.690056223328067,-10.585565252128411,0.98
18,18,Louisiana,2021-01-15,-22.0,-11.0,-32.0,-26.0,-24.0,9.0,8.836,93.0,22,364853,8080,12.807249811717176,-17.298822127573175,1.32
19,19,Maine,2021-01-15,-24.0,-9.0,10.0,-37.0,-27.0,11.0,6.237,87.0,23,32781,477,10.397604358238855,-10.064728296983393,0.79
20,20,Maryland,2021-01-15,-30.0,-17.0,-18.0,-49.0,-41.0,17.0,4.063,51.0,24,320923,6494,12.678956497948038,-22.411897735527507,0.97
21,21,Massachusetts,2021-01-15,-33.0,-18.0,-19.0,-59.0,-40.0,17.0,3.663,60.0,25,459927,13509,13.038823060219615,-25.552203056196827,0.76
22,22,Michigan,2021-01-15,-36.0,-19.0,-21.0,-38.0,-33.0,15.0,5.615,70.0,26,578294,14539,13.267837668854721,-20.722448063383922,0.91
23,23,Minnesota,2021-01-15,-36.0,-27.0,-28.0,-52.0,-40.0,19.0,3.555,48.0,27,443630,5918,13.002746160665787,-27.166432888053297,0.63
24,24,Mississippi,2021-01-15,-17.0,-15.0,-18.0,-4.0,-21.0,7.0,11.304,100.0,28,248189,5411,12.42194583167302,-7.593955150150273,1.28
25,25,Missouri,2021-01-15,-27.0,-22.0,-28.0,-25.0,-22.0,13.0,5.497000000000001,58.0,29,464931,6619,13.049644286462266,-17.91902537139339,0.91
26,26,Montana,2021-01-15,-17.0,-8.0,-16.0,-12.0,-18.0,8.0,4.016,96.0,30,88725,1086,11.393296977514696,-9.639974599046964,0.73
27,27,Nebraska,2021-01-15,-41.0,-31.0,-47.0,-35.0,-39.0,20.0,2.317,34.0,31,181895,1904,12.111184876497855,-28.924287544273803,0.7
28,28,Nevada,2021-01-15,-27.0,-17.0,-33.0,-46.0,-35.0,13.0,4.083,57.0,32,258451,3704,12.462461399837053,-24.905133440319858,1.14
29,29,New Hampshire,2021-01-15,-23.0,-9.0,7.0,-36.0,-28.0,13.0,5.879,66.0,33,55500,908,10.924138299734526,-10.493296394015914,0.63
30,30,New Jersey,2021-01-15,-32.0,-13.0,-20.0,-49.0,-39.0,16.0,3.76,52.0,34,616086,20320,13.331141843160644,-22.81910930791201,0.98
31,31,New Mexico,2021-01-15,-30.0,-13.0,-23.0,-23.0,-35.0,13.0,3.846,64.0,35,161805,2876,11.994147185477637,-16.919705508753804,1.39
32,32,New York,2021-01-15,-38.0,-17.0,-39.0,-53.0,-39.0,15.0,2.882,55.0,36,1213179,40203,14.00875474505229,-29.857985803923803,1.06
33,33,North Carolina,2021-01-15,-24.0,-12.0,-14.0,-35.0,-31.0,11.0,7.451,76.0,37,661506,7996,13.402274332790796,-15.875138274570578,1.08
34,34,North Dakota,2021-01-15,-23.0,-24.0,-28.0,-28.0,-20.0,12.0,4.0939999999999985,95.0,38,95621,1395,11.468147740188575,-18.508498198531353,0.68
35,35,Ohio,2021-01-15,-24.0,-16.0,-9.0,-25.0,-28.0,12.0,6.17,77.0,39,814442,10057,13.610258495157854,-12.549480378439734,0.99
36,36,Oklahoma,2021-01-15,-19.0,-14.0,-30.0,-12.0,-25.0,10.0,8.216000000000001,85.0,40,348044,2925,12.760084187545765,-13.420792841693572,0.95
37,37,Oregon,2021-01-15,-32.0,-14.0,-13.0,-41.0,-36.0,13.0,3.173,61.0,41,131296,1763,11.785209595241911,-19.27434858487116,0.89
38,38,Pennsylvania,2021-01-15,-30.0,-16.0,-21.0,-44.0,-33.0,14.0,4.6960000000000015,74.0,42,760552,18978,13.541799764412325,-21.405723382104892,0.88
39,39,Rhode Island,2021-01-15,-28.0,-17.0,7.0,-53.0,-33.0,13.0,4.243,69.0,44,104443,2005,11.5563967470271,-16.499381833865787,0.97
40,40,South Carolina,2021-01-15,-20.0,-13.0,-28.0,-18.0,-27.0,9.0,8.151,85.0,45,375967,6037,12.837256652562928,-14.588801671090105,1.12
41,41,South Dakota,2021-01-15,-26.0,-15.0,-28.0,-31.0,-27.0,16.0,2.899,56.0,46,104937,1629,11.561115449067627,-19.342529965506333,0.73
42,42,Tennessee,2021-01-15,-20.0,-12.0,-16.0,-23.0,-27.0,10.0,8.597000000000001,84.0,47,663486,8233,13.405263032305713,-12.562209907017515,1.03
43,43,Texas,2021-01-15,-22.0,-13.0,-31.0,-30.0,-31.0,11.0,7.252000000000002,79.0,48,2096526,32212,14.555792247137804,-18.818586328984264,1.1
44,44,Utah,2021-01-15,-19.0,-11.0,3.0,-35.0,-32.0,11.0,5.182,73.0,49,320175,1475,12.676623000294272,-11.394429397143506,0.47
45,45,Vermont,2021-01-15,-29.0,-16.0,-21.0,-53.0,-30.0,13.0,4.967,84.0,50,9734,163,9.1833801903934,-23.26786575172591,0.67
46,46,Virginia,2021-01-15,-28.0,-14.0,-12.0,-40.0,-37.0,15.0,5.277,65.0,51,422634,5656,12.954261835258153,-17.844778183539113,0.83
47,47,Washington,2021-01-15,-31.0,-15.0,7.0,-51.0,-40.0,14.0,3.751,60.0,53,290288,3972,12.578628812609944,-16.698549152492568,0.7
48,48,West Virginia,2021-01-15,-25.0,-16.0,-23.0,-24.0,-26.0,11.0,6.073,78.0,54,106649,1733,11.577298347390466,-15.899548624005654,1.04
49,49,Wisconsin,2021-01-15,-29.0,-16.0,-12.0,-30.0,-27.0,14.0,5.386,81.0,55,563866,5771,13.242571913599058,-15.134936634762298,0.72
50,50,Wyoming,2021-01-15,-21.0,-10.0,-9.0,-4.0,-16.0,7.0,4.033,100.0,56,48909,522,10.797716707607762,-6.526060806633532,0.62
