,state,county,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,country_code,admin_level,admin2,fips,samples,m50,m50_index
0,Alabama,Total,2020-02-15,5.0,2.0,39.0,7.0,2.0,-1.0,,,,,,,
1,Alabama,Total,2020-02-16,0.0,-2.0,-7.0,3.0,-1.0,1.0,,,,,,,
2,Alabama,Total,2020-02-17,3.0,0.0,17.0,7.0,-17.0,4.0,,,,,,,
3,Alabama,Total,2020-02-18,-4.0,-3.0,-11.0,-1.0,1.0,2.0,,,,,,,
4,Alabama,Total,2020-02-19,4.0,1.0,6.0,4.0,1.0,0.0,,,,,,,
5,Alabama,Total,2020-02-20,-7.0,-6.0,-25.0,-1.0,0.0,3.0,,,,,,,
6,Alabama,Total,2020-02-21,3.0,0.0,12.0,9.0,1.0,0.0,,,,,,,
7,Alabama,Total,2020-02-22,5.0,4.0,46.0,13.0,6.0,-1.0,,,,,,,
8,Alabama,Total,2020-02-23,3.0,2.0,24.0,16.0,2.0,0.0,,,,,,,
9,Alabama,Total,2020-02-24,-2.0,-3.0,-13.0,2.0,-2.0,2.0,,,,,,,
10,Alabama,Total,2020-02-25,7.0,3.0,27.0,7.0,-1.0,0.0,,,,,,,
11,Alabama,Total,2020-02-26,16.0,5.0,7.0,11.0,0.0,-1.0,,,,,,,
12,Alabama,Total,2020-02-27,12.0,6.0,14.0,9.0,2.0,-1.0,,,,,,,
13,Alabama,Total,2020-02-28,12.0,6.0,20.0,10.0,1.0,-1.0,,,,,,,
14,Alabama,Total,2020-02-29,15.0,10.0,55.0,20.0,5.0,-3.0,,,,,,,
15,Alabama,Total,2020-03-01,16.0,10.0,53.0,21.0,4.0,-2.0,US,1.0,,1.0,133826.0,8.331,79.0
16,Alabama,Total,2020-03-02,8.0,4.0,-2.0,5.0,2.0,0.0,US,1.0,,1.0,143632.0,10.398,98.0
17,Alabama,Total,2020-03-03,20.0,15.0,33.0,5.0,2.0,-1.0,US,1.0,,1.0,146009.0,10.538,100.0
18,Alabama,Total,2020-03-04,7.0,0.0,-8.0,2.0,0.0,1.0,US,1.0,,1.0,149352.0,10.144,96.0
19,Alabama,Total,2020-03-05,7.0,6.0,0.0,4.0,2.0,1.0,US,1.0,,1.0,144109.0,10.982000000000001,104.0
20,Alabama,Total,2020-03-06,9.0,4.0,29.0,10.0,2.0,-1.0,US,1.0,,1.0,141491.0,13.024000000000001,123.0
21,Alabama,Total,2020-03-07,12.0,8.0,63.0,18.0,7.0,-2.0,US,1.0,,1.0,141163.0,11.373,107.0
22,Alabama,Total,2020-03-08,12.0,8.0,55.0,20.0,3.0,-1.0,US,1.0,,1.0,138075.0,8.513,80.0
23,Alabama,Total,2020-03-09,10.0,8.0,45.0,9.0,2.0,-1.0,US,1.0,,1.0,145037.0,10.901,103.0
24,Alabama,Total,2020-03-10,9.0,8.0,21.0,4.0,1.0,0.0,US,1.0,,1.0,143390.0,10.892000000000001,103.0
25,Alabama,Total,2020-03-11,10.0,8.0,27.0,7.0,1.0,-1.0,US,1.0,,1.0,143775.0,10.954,103.0
26,Alabama,Total,2020-03-12,10.0,22.0,43.0,8.0,1.0,-1.0,US,1.0,,1.0,141531.0,11.755,111.0
27,Alabama,Total,2020-03-13,7.0,32.0,26.0,7.0,-2.0,0.0,US,1.0,,1.0,138766.0,12.269,116.0
28,Alabama,Total,2020-03-14,1.0,28.0,55.0,12.0,4.0,0.0,US,1.0,,1.0,135267.0,9.379,89.0
29,Alabama,Total,2020-03-15,-7.0,16.0,16.0,6.0,-4.0,2.0,US,1.0,,1.0,131636.0,6.3839999999999995,60.0
30,Alabama,Total,2020-03-16,-2.0,24.0,22.0,2.0,-10.0,4.0,US,1.0,,1.0,134064.0,9.49,90.0
31,Alabama,Total,2020-03-17,-11.0,17.0,25.0,-1.0,-17.0,7.0,US,1.0,,1.0,137404.0,8.263,78.0
32,Alabama,Total,2020-03-18,-13.0,13.0,39.0,-3.0,-22.0,8.0,US,1.0,,1.0,133274.0,7.662000000000001,72.0
33,Alabama,Total,2020-03-19,-20.0,15.0,27.0,-8.0,-25.0,10.0,US,1.0,,1.0,130158.0,7.8629999999999995,74.0
34,Alabama,Total,2020-03-20,-27.0,10.0,7.0,-14.0,-29.0,14.0,US,1.0,,1.0,122306.0,8.325,78.0
35,Alabama,Total,2020-03-21,-35.0,5.0,10.0,-13.0,-16.0,8.0,US,1.0,,1.0,104381.0,5.233,49.0
36,Alabama,Total,2020-03-22,-40.0,-7.0,2.0,-22.0,-27.0,9.0,US,1.0,,1.0,118961.0,2.903,27.0
37,Alabama,Total,2020-03-23,-33.0,-6.0,-11.0,-22.0,-33.0,14.0,US,1.0,,1.0,128380.0,5.398,51.0
38,Alabama,Total,2020-03-24,-32.0,-5.0,4.0,-18.0,-34.0,15.0,US,1.0,,1.0,132352.0,5.519,52.0
39,Alabama,Total,2020-03-25,-28.0,-4.0,36.0,-15.0,-36.0,13.0,US,1.0,,1.0,128921.0,6.305,59.0
40,Alabama,Total,2020-03-26,-30.0,-3.0,32.0,-19.0,-36.0,14.0,US,1.0,,1.0,130572.0,6.3629999999999995,60.0
41,Alabama,Total,2020-03-27,-30.0,-2.0,30.0,-24.0,-37.0,16.0,US,1.0,,1.0,129899.0,6.956,66.0
42,Alabama,Total,2020-03-28,-36.0,-2.0,22.0,-25.0,-22.0,9.0,US,1.0,,1.0,128521.0,4.772,45.0
43,Alabama,Total,2020-03-29,-41.0,-13.0,19.0,-30.0,-32.0,9.0,US,1.0,,1.0,132096.0,2.739,25.0
44,Alabama,Total,2020-03-30,-33.0,-10.0,10.0,-25.0,-38.0,14.0,US,1.0,,1.0,132085.0,5.148,48.0
45,Alabama,Total,2020-03-31,-36.0,-11.0,-23.0,-26.0,-40.0,17.0,US,1.0,,1.0,132317.0,4.49,42.0
46,Alabama,Total,2020-04-01,-25.0,5.0,19.0,-20.0,-39.0,14.0,US,1.0,,1.0,131723.0,5.619,53.0
47,Alabama,Total,2020-04-02,-32.0,3.0,12.0,-25.0,-39.0,16.0,US,1.0,,1.0,131971.0,5.876,55.0
48,Alabama,Total,2020-04-03,-29.0,12.0,17.0,-29.0,-40.0,16.0,US,1.0,,1.0,130966.0,6.624,62.0
49,Alabama,Total,2020-04-04,-41.0,8.0,4.0,-33.0,-26.0,11.0,US,1.0,,1.0,126566.0,4.2410000000000005,40.0
